Round 1
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
1,Dude Abides,Ja'Marr Chase WR | CIN,,#3 WR,350.9,327.3
2,jerseyj,Saquon Barkley RB | PHI,3 sec,#11 RB,274.6,253.5
3,OnStar,Jahmyr Gibbs RB | DET ,33 sec,#3 RB,399.9,379.6
4,Pallino Primos,CeeDee Lamb WR | DAL ,18 sec,#15 WR,232.9,231.5
5,Chicken Dinner,Bijan Robinson RB | ATL ,46 sec,#2 RB,411.8,404.5
6,The Young Core,Justin Jefferson WR | MIN ,46 sec,#22 WR,216.5,193.1
7,Ruff Necks,Christian McCaffrey RB | SF ,35 sec,#1 RB,478.4,424.9
8,Prometheus Out of Bounds,Derrick Henry RB | BAL,10 sec,#7 RB,326.5,308.9
9,Steel Your League,Ashton Jeanty RB | LV,29 sec,#12 RB,263.1,250.7
10,Rumblin' Stumblers,Nico Collins WR | HOU,17 sec,#9 WR,248.3,243.2
11,Three-Eyed RAVEN,Chase Brown RB | CIN,32 sec,#8 RB,298.4,205.3
12,Mulvihill Machine,Amon-Ra St. Brown WR | DET,16 sec,#4 WR,349,319.1
Round 2
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
1,Mulvihill Machine,Josh Jacobs RB | GB,14 sec,#15 RB,244.9,238.1
2,Three-Eyed RAVEN,Lamar Jackson QB | BAL ,1 min 28 sec,#22 QB,249.35,220.55
3,Rumblin' Stumblers,Bucky Irving RB | TB ,10 sec,#33 RB,145.5,134.7
4,Steel Your League,Josh Allen QB | BUF ,10 sec,#2 QB,493,321.95
5,Prometheus Out of Bounds,James Cook RB | BUF,10 sec,#5 RB,384.4,356.7
6,Ruff Necks,A.J. Brown WR | PHI ,27 sec,#8 WR,250.8,145.8
7,The Young Core,Drake London WR | ATL,1 min 23 sec,#19 WR,226.9,202
8,Chicken Dinner,*Alvin Kamara RB | NO ,1 min 30 sec,#46 RB,100.7,100.7
9,Pallino Primos,Omarion Hampton RB | LAC,6 sec,#35 RB,143.7,96.6
10,OnStar,Tee Higgins WR | CIN,1 min 26 sec,#21 WR,216.6,197.9
11,jerseyj,Jaxon Smith-Njigba WR | SEA ,34 sec,#2 WR,462.9,394.6
12,Dude Abides,Kenneth Walker III RB | KC ,26 sec,#22 RB,289.7,60.1
Round 3
