Round,Pick,Team,Player,Position,NFL Team,Elapsed Time
1,1,OnStar,Christian McCaffrey,RB,SF,26 sec
1,2,Lewd,Saquon Barkley,RB,PHI,24 sec
1,3,No longer new guy,Ezekiel Elliott,RB,LAC,10 sec
1,4,Ruff Necks,Michael Thomas,WR,NO,11 sec
1,5,Steel Your League,Clyde Edwards-Helaire,RB,KC,11 sec
1,6,Chicken Dinner,Alvin Kamara,RB,NO,11 sec
1,7,Mulvihill Machine,Davante Adams,WR,LAR,26 sec
1,8,Soaring Marmots,Joe Mixon,RB,HOU,52 sec
1,9,Rumblin' Stumblers,Julio Jones WR •,,,5 min 44 sec
1,10,Dude Abides,Tyreek Hill,WR,MIA,1 min 13 sec
1,11,Pallino Primos,Aaron Jones,RB,MIN,10 sec
1,12,Three-Eyed RAVEN,DeAndre Hopkins,WR,BAL,38 sec
2,1,Three-Eyed RAVEN,James Conner,RB,ARI,3 sec
2,2,Pallino Primos,Chris Godwin,WR,TB,9 sec
2,3,Dude Abides,Jonathan Taylor,RB,IND,1 min 47 sec
2,4,Rumblin' Stumblers,Travis Kelce,TE,KC,0 sec
2,5,Soaring Marmots,Tarik Cohen RB •,,,29 sec
2,6,Mulvihill Machine,DJ Moore,WR,BUF,33 sec
2,7,Chicken Dinner,Mike Evans,WR,SF,1 min 37 sec
2,8,Steel Your League,Adam Thielen,WR,PIT,25 sec
2,9,Ruff Necks,Calvin Ridley,WR,TEN,42 sec
2,10,No longer new guy,Cooper Kupp,WR,SEA,1 min 13 sec
2,11,Lewd,Matt Ryan QB •,,,2 min 0 sec
2,12,OnStar,JuJu Smith-Schuster,WR,KC,37 sec
3,1,OnStar,Kenyan Drake RB •  (Keeper),,,0 sec
3,2,Lewd,Le'Veon Bell RB •,,,0 sec
3,3,No longer new guy,Zach Ertz,TE,WAS,1 min 48 sec
3,4,Ruff Necks,Todd Gurley RB •,,,6 sec
3,5,Steel Your League,Josh Jacobs RB • GB (Keeper),,,0 sec
3,6,Chicken Dinner,David Johnson RB •,,,59 sec
3,7,Mulvihill Machine,Melvin Gordon RB •,,,1 min 14 sec
3,8,Soaring Marmots,Kenny Golladay WR •  (Keeper),,,0 sec
3,9,Rumblin' Stumblers,Tom Brady QB •,,,0 sec
3,10,Dude Abides,Cam Akers,RB,SEA,1 min 10 sec
3,11,Pallino Primos,Allen Robinson,WR,DET,30 sec
3,12,Three-Eyed RAVEN,Amari Cooper,WR,LV,1 min 16 sec
4,1,Three-Eyed RAVEN,Dalvin Cook RB • DAL (Keeper),,,0 sec
4,2,Pallino Primos,Nick Chubb RB • HOU (Keeper),,,0 sec
4,3,Dude Abides,Kareem Hunt,RB,KC,38 sec
4,4,Rumblin' Stumblers,Darren Waller,TE,MIA,0 sec
4,5,Soaring Marmots,Hunter Henry,TE,NE,56 sec
4,6,Mulvihill Machine,Raheem Mostert,RB,LV,1 min 28 sec
4,7,Chicken Dinner,Tyler Lockett,WR,LV,36 sec
4,8,Steel Your League,T.Y. Hilton WR •,,,49 sec
4,9,Ruff Necks,DJ Chark,WR,ATL,1 min 8 sec
4,10,No longer new guy,Odell Beckham Jr.,WR,MIA,1 min 29 sec
4,11,Lewd,DK Metcalf,WR,PIT,5 sec
4,12,OnStar,Carson Wentz,QB,MIN,12 sec
5,1,OnStar,Evan Engram,TE,DEN,52 sec
5,2,Lewd,Marquise Brown,WR,PHI,6 sec
5,3,No longer new guy,Keenan Allen,WR,LAC,1 min 38 sec
5,4,Ruff Necks,Derrick Henry RB • BAL (Keeper),,,0 sec
5,5,Steel Your League,Drew Brees QB •,,,18 sec
5,6,Chicken Dinner,Mark Ingram RB •,,,1 min 5 sec
5,7,Mulvihill Machine,Deshaun Watson,QB,CLE,34 sec
5,8,Soaring Marmots,Robert Woods,WR,PIT,8 sec
5,9,Rumblin' Stumblers,Steelers DST • PIT  (Keeper),,,0 sec
5,10,Dude Abides,A.J. Brown,WR,PHI,1 min 25 sec
5,11,Pallino Primos,Courtland Sutton,WR,DEN,1 min 59 sec
5,12,Three-Eyed RAVEN,James White RB •,,,1 min 38 sec
6,1,Three-Eyed RAVEN,Antonio Gibson,RB,NE,60 sec
6,2,Pallino Primos,Lamar Jackson QB • BAL  (Keeper),,,0 sec
6,3,Dude Abides,Michael Gallup,WR,WAS,1 min 8 sec
6,4,Rumblin' Stumblers,Devin Singletary,RB,NYG,0 sec
6,5,Soaring Marmots,Ravens,DST,BAL,45 sec
6,6,Mulvihill Machine,Tyler Higbee,TE,LAR,32 sec
6,7,Chicken Dinner,J.K. Dobbins,RB,DEN,1 min 22 sec
6,8,Steel Your League,Stefon Diggs,WR,NE,12 sec
6,9,Ruff Necks,Will Fuller WR •,,,1 min 34 sec
6,10,No longer new guy,Miles Sanders RB • DAL  (Keeper),,,0 sec
6,11,Lewd,Terry McLaurin,WR,WAS,39 sec
6,12,OnStar,Austin Ekeler RB • WAS  (Keeper),,,0 sec
7,1,OnStar,Tyler Boyd,WR,TEN,30 sec
7,2,Lewd,49ers,DST,SF,17 sec
7,3,No longer new guy,Christian Kirk,WR,SF,1 min 43 sec
7,4,Ruff Necks,D'Andre Swift,RB,CHI,11 sec
7,5,Steel Your League,Diontae Johnson,WR,CLE,26 sec
7,6,Chicken Dinner,Leonard Fournette RB •,,,46 sec
7,7,Mulvihill Machine,Colts,DST,IND,1 min 13 sec
7,8,Soaring Marmots,Zack Moss,RB,CIN,13 sec
7,9,Rumblin' Stumblers,Phillip Lindsay RB •,,,0 sec
7,10,Dude Abides,A.J. Green WR •,,,1 min 49 sec
7,11,Pallino Primos,Jarvis Landry WR •,,,1 min 15 sec
7,12,Three-Eyed RAVEN,Matt Breida,RB,SF,1 min 26 sec
8,1,Three-Eyed RAVEN,Henry Ruggs III WR •,,,52 sec
8,2,Pallino Primos,Bills,DST,BUF,8 sec
8,3,Dude Abides,Latavius Murray,RB,BUF,13 sec
8,4,Rumblin' Stumblers,Julian Edelman WR •,,,0 sec
8,5,Soaring Marmots,Sterling Shepard,WR,TB,1 min 11 sec
8,6,Mulvihill Machine,Jamison Crowder,WR,WAS,1 min 47 sec
8,7,Chicken Dinner,Dak Prescott QB • DAL  (Keeper),,,0 sec
8,8,Steel Your League,Jordan Howard RB •,,,33 sec
8,9,Ruff Necks,Chris Carson RB •  (Keeper),,,0 sec
8,10,No longer new guy,Boston Scott,RB,PIT,15 sec
8,11,Lewd,Marvin Jones WR •,,,58 sec
8,12,OnStar,Brandin Cooks,WR,BUF,27 sec
9,1,OnStar,Aaron Rodgers,QB,PIT,47 sec
9,2,Lewd,Wil Lutz,K,DEN,29 sec
9,3,No longer new guy,Tony Pollard,RB,TEN,45 sec
9,4,Ruff Necks,Hayden Hurst,TE,LAC,9 sec
9,5,Steel Your League,George Kittle TE • SF  (Keeper),,,0 sec
9,6,Chicken Dinner,CeeDee Lamb,WR,DAL,20 sec
9,7,Mulvihill Machine,Marlon Mack,RB,ARI,1 min 50 sec
9,8,Soaring Marmots,Patrick Mahomes QB • KC  (Keeper),,,0 sec
9,9,Rumblin' Stumblers,Russell Wilson QB • NYG (Keeper),,,0 sec
9,10,Dude Abides,Jared Goff,QB,DET,1 min 54 sec
9,11,Pallino Primos,James Robinson,RB,NO,11 sec
9,12,Three-Eyed RAVEN,Mark Andrews TE • BAL  (Keeper),,,0 sec
10,1,Three-Eyed RAVEN,Josh Allen,QB,BUF,6 sec
10,2,Pallino Primos,Noah Fant,TE,NO,1 min 31 sec
10,3,Dude Abides,Patriots,DST,NE,12 sec
10,4,Rumblin' Stumblers,David Montgomery,RB,HOU,0 sec
10,5,Soaring Marmots,Rob Gronkowski TE •,,,17 sec
10,6,Mulvihill Machine,Jonnu Smith,TE,PIT,27 sec
10,7,Chicken Dinner,Jerry Jeudy,WR,CLE,28 sec
10,8,Steel Your League,Matthew Stafford,QB,LAR,39 sec
10,9,Ruff Necks,Ben Roethlisberger QB •,,,35 sec
10,10,No longer new guy,Rams,DST,LAR,60 sec
10,11,Lewd,Jared Cook TE •,,,21 sec
10,12,OnStar,DeVante Parker WR •,,,51 sec
11,1,OnStar,Emmanuel Sanders WR •,,,1 min 8 sec
11,2,Lewd,Cam Newton QB •,,,15 sec
11,3,No longer new guy,Kyler Murray QB • MIN  (Keeper),,,0 sec
11,4,Ruff Necks,Chargers,DST,LAC,8 sec
11,5,Steel Your League,Bears,DST,CHI,8 sec
