Round,Pick,Pick-Num,Team,Player,Position,Keeper,Starred,Elapsed Time,Rank,Total Fpts,Active Fpts
1,1,1,OnStar,Christian McCaffrey RB | SF,RB,False,False,26 sec,,,
1,2,2,Lewd,Saquon Barkley RB | PHI,RB,False,False,24 sec,,,
1,3,3,No longer new guy,Ezekiel Elliott RB | LAC,RB,False,False,10 sec,,,
1,4,4,Ruff Necks,Michael Thomas WR | NO,WR,False,False,11 sec,,,
1,5,5,Steel Your League,Clyde Edwards-Helaire RB | KC,RB,False,False,11 sec,,,
1,6,6,Chicken Dinner,Alvin Kamara RB | NO,RB,False,False,11 sec,,,
1,7,7,Mulvihill Machine,Davante Adams WR | LAR,WR,False,False,26 sec,,,
1,8,8,Soaring Marmots,Joe Mixon RB | HOU,RB,False,False,52 sec,,,
1,9,9,Rumblin' Stumblers,Julio Jones WR |,WR,False,False,5 min 44 sec,,,
1,10,10,Dude Abides,Tyreek Hill WR | MIA,WR,False,False,1 min 13 sec,,,
1,11,11,Pallino Primos,Aaron Jones RB | MIN,RB,False,False,10 sec,,,
1,12,12,Three-Eyed RAVEN,DeAndre Hopkins WR | BAL,WR,False,False,38 sec,,,
2,1,13,Three-Eyed RAVEN,James Conner RB | ARI,RB,False,False,3 sec,,,
2,2,14,Pallino Primos,Chris Godwin WR | TB,WR,False,False,9 sec,,,
2,3,15,Dude Abides,Jonathan Taylor RB | IND,RB,False,False,1 min 47 sec,,,
2,4,16,Rumblin' Stumblers,Travis Kelce TE | KC,TE,False,False,0 sec,,,
2,5,17,Soaring Marmots,Tarik Cohen RB |,RB,False,False,29 sec,,,
2,6,18,Mulvihill Machine,DJ Moore WR | BUF,WR,False,False,33 sec,,,
2,7,19,Chicken Dinner,Mike Evans WR | SF,WR,False,False,1 min 37 sec,,,
2,8,20,Steel Your League,Adam Thielen WR | PIT,WR,False,False,25 sec,,,
2,9,21,Ruff Necks,Calvin Ridley WR | TEN,WR,False,False,42 sec,,,
2,10,22,No longer new guy,Cooper Kupp WR | SEA,WR,False,False,1 min 13 sec,,,
2,11,23,Lewd,Matt Ryan QB |,QB,False,False,2 min 0 sec,,,
2,12,24,OnStar,JuJu Smith-Schuster WR | KC,WR,False,False,37 sec,,,
3,1,25,OnStar,Kenyan Drake RB |,RB,True,False,0 sec,,,
3,2,26,Lewd,Le'Veon Bell RB |,RB,False,False,0 sec,,,
3,3,27,No longer new guy,Zach Ertz TE | WAS,TE,False,False,1 min 48 sec,,,
3,4,28,Ruff Necks,Todd Gurley RB |,RB,False,False,6 sec,,,
3,5,29,Steel Your League,Josh Jacobs RB | GB,RB,True,False,0 sec,,,
3,6,30,Chicken Dinner,David Johnson RB |,RB,False,False,59 sec,,,
3,7,31,Mulvihill Machine,Melvin Gordon RB |,RB,False,False,1 min 14 sec,,,
3,8,32,Soaring Marmots,Kenny Golladay WR |,WR,True,False,0 sec,,,
3,9,33,Rumblin' Stumblers,Tom Brady QB |,QB,False,False,0 sec,,,
3,10,34,Dude Abides,Cam Akers RB | SEA,RB,False,False,1 min 10 sec,,,
3,11,35,Pallino Primos,Allen Robinson WR | DET,WR,False,False,30 sec,,,
3,12,36,Three-Eyed RAVEN,Amari Cooper WR | LV,WR,False,False,1 min 16 sec,,,
4,1,37,Three-Eyed RAVEN,Dalvin Cook RB | DAL,RB,True,False,0 sec,,,
4,2,38,Pallino Primos,Nick Chubb RB | HOU,RB,True,False,0 sec,,,
4,3,39,Dude Abides,Kareem Hunt RB | KC,RB,False,False,38 sec,,,
4,4,40,Rumblin' Stumblers,Darren Waller TE | MIA,TE,False,False,0 sec,,,
4,5,41,Soaring Marmots,Hunter Henry TE | NE,TE,False,False,56 sec,,,
4,6,42,Mulvihill Machine,Raheem Mostert RB | LV,RB,False,False,1 min 28 sec,,,
