Round,Pick,Team,Player,Position,NFL Team,Elapsed Time,Total Fpts,Active Fpts
1,1,Mulvihill Machine,Christian McCaffrey,RB,SF,,127.5,127.5
1,2,Dude Abides,Dalvin Cook,RB,DAL,13 sec,222.1,222.1
1,3,Chicken Dinner,Alvin Kamara,RB,NO,11 sec,231.5,231.5
1,4,OnStar,Ezekiel Elliott,RB,LAC,3 sec,256.2,240.8
1,5,Steel Your League,Nick Chubb,RB,HOU,6 sec,239.3,231.4
1,6,Prometheus Out of Bounds,Travis Kelce,TE,KC,7 sec,327.9,269.5
1,7,Three-Eyed RAVEN,Aaron Jones,RB,MIN,1 sec,265.0,234.0
1,8,Juggernaut,*Patrick Mahomes,QB,KC,1 min 3 sec,549.1,167.9
1,9,Rumblin' Stumblers,Joe Mixon,RB,HOU,1 sec,351.7,292.6
1,10,Pallino Primos,Davante Adams,WR,LAR,2 sec,395.8,377.8
1,11,Soaring Marmots,Jonathan Taylor,RB,IND,8 sec,424.6,384.7
1,12,Ruff Necks,Najee Harris,RB,LAC,13 sec,315.1,312.2
2,1,Ruff Necks,Tyreek Hill,WR,MIA,2 sec,351.2,313.7
2,2,Soaring Marmots,Kyler Murray,QB,MIN,13 sec,366.3,320.4
2,3,Pallino Primos,Saquon Barkley,RB,PHI,3 sec,146.1,121.9
2,4,Rumblin' Stumblers,Chris Carson RB •,,,1 sec,49.1,49.1
2,5,Juggernaut,*George Kittle,TE,SF,1 sec,230.8,207.0
2,6,Three-Eyed RAVEN,Calvin Ridley,WR,TEN,5 sec,71.1,71.1
2,7,Prometheus Out of Bounds,Clyde Edwards-Helaire,RB,KC,25 sec,132.6,34.6
2,8,Steel Your League,DeAndre Hopkins,WR,BAL,5 sec,147.2,127.4
2,9,OnStar,Allen Robinson,WR,DET,15 sec,80.8,3.4
2,10,Chicken Dinner,D'Andre Swift,RB,CHI,4 sec,209.3,209.3
2,11,Dude Abides,Keenan Allen,WR,LAC,10 sec,266.6,266.6
2,12,Mulvihill Machine,Robert Woods,WR,PIT,11 sec,142.2,142.2
3,1,Mulvihill Machine,Tyler Lockett,WR,LV,3 sec,245.4,224.1
3,2,Dude Abides,Gus Edwards,RB,LAC,17 sec,0.0,0.0
3,3,Chicken Dinner,Miles Sanders,RB,DAL,6 sec,133.3,5.8
3,4,OnStar,Mark Andrews,TE,BAL,3 sec,309.6,309.6
3,5,Steel Your League,Amari Cooper,WR,LV,42 sec,218.0,152.6
3,6,Prometheus Out of Bounds,(Skipped Pick),,,7 min 2 sec,0.0,0.0
3,7,Three-Eyed RAVEN,Kyle Pitts,TE,ATL,8 sec,188.8,188.8
3,8,Juggernaut,Justin Herbert,QB,LAC,13 sec,488.8,320.9
3,9,Rumblin' Stumblers,(Skipped Pick),,,7 sec,0.0,0.0
3,10,Pallino Primos,Myles Gaskin,RB,SEA,8 min 15 sec,169.6,99.4
3,11,Soaring Marmots,Cooper Kupp,WR,SEA,8 sec,524.7,465.4
3,12,Ruff Necks,Mike Davis RB •,,,9 sec,136.4,15.7
4,1,Ruff Necks,(Skipped Pick),,,16 sec,0.0,0.0
4,2,Soaring Marmots,Damien Harris,RB,BUF,6 sec,226.2,71.3
4,3,Pallino Primos,Diontae Johnson,WR,CLE,48 sec,291.7,277.3
4,4,Rumblin' Stumblers,Chase Claypool,WR,BUF,9 sec,159.4,83.3
4,5,Juggernaut,Raheem Mostert,RB,LV,1 min 2 sec,2.0,2.0
4,6,Three-Eyed RAVEN,Chase Edmonds,RB,WAS,18 sec,151.1,103.1
4,7,Prometheus Out of Bounds,Chris Godwin,WR,TB,15 sec,267.4,267.4
4,8,Steel Your League,Logan Thomas,TE,SF,7 sec,53.6,33.7
4,9,OnStar,DJ Moore,WR,BUF,40 sec,236.0,215.6
4,10,Chicken Dinner,Julio Jones WR •,,,48 sec,80.8,5.8
4,11,Dude Abides,(Skipped Pick),,,2 sec,0.0,0.0
4,12,Mulvihill Machine,Josh Jacobs,RB,GB,22 sec,225.8,198.4
5,1,Mulvihill Machine,Dak Prescott,QB,DAL,3 sec,422.1,401.7
5,2,Dude Abides,(Skipped Pick),,,1 min 26 sec,0.0,0.0
5,3,Chicken Dinner,*Tom Brady QB •,,,1 min 2 sec,542.2,520.7
5,4,OnStar,(Skipped Pick),,,7 sec,0.0,0.0
5,5,Steel Your League,(Skipped Pick),,,7 sec,0.0,0.0
5,6,Prometheus Out of Bounds,(Skipped Pick),,,1 sec,0.0,0.0
5,7,Three-Eyed RAVEN,(Skipped Pick),,,10 sec,0.0,0.0
5,8,Juggernaut,*Kareem Hunt,RB,KC,0 sec,110.0,104.2
5,9,Rumblin' Stumblers,Mike Evans,WR,SF,51 sec,277.3,230.9
5,10,Pallino Primos,(Skipped Pick),,,7 sec,0.0,0.0
5,11,Soaring Marmots,Adam Thielen,WR,PIT,3 sec,204.8,197.8
5,12,Ruff Necks,Jerry Jeudy,WR,CLE,13 sec,80.0,63.1
6,1,Ruff Necks,Ja'Marr Chase,WR,CIN,44 sec,410.9,318.1
6,2,Soaring Marmots,Noah Fant,TE,NO,3 sec,156.4,87.0
6,3,Pallino Primos,Tyler Higbee,TE,LAR,13 sec,134.9,22.0
6,4,Rumblin' Stumblers,Rams,DST,LAR,41 sec,265.1,191.9
6,5,Juggernaut,*Javonte Williams,RB,DAL,0 sec,206.9,175.2
6,6,Three-Eyed RAVEN,Brandon Aiyuk,WR,SF,39 sec,176.3,0.0
6,7,Prometheus Out of Bounds,Darrell Henderson Jr. RB •,,,12 sec,163.4,140.4
6,8,Steel Your League,Melvin Gordon RB •,,,10 sec,192.1,83.3
6,9,OnStar,Tyler Boyd,WR,TEN,55 sec,215.8,123.4
6,10,Chicken Dinner,*Ravens,DST,BAL,0 sec,162.8,5.0
6,11,Dude Abides,Robert Tonyan,TE,KC,8 sec,50.4,21.4
6,12,Mulvihill Machine,Trey Sermon,RB,PIT,23 sec,28.3,9.6
7,1,Mulvihill Machine,Dallas Goedert,TE,PHI,25 sec,190.2,19.0
7,2,Dude Abides,Ryan Tannehill,QB,TEN,8 sec,285.8,55.0
7,3,Chicken Dinner,*Hunter Henry,TE,NE,1 sec,154.7,90.9
7,4,OnStar,Jalen Hurts,QB,PHI,36 sec,378.4,65.3
7,5,Steel Your League,Matthew Stafford,QB,LAR,5 sec,515.1,418.1
7,6,Prometheus Out of Bounds,Tee Higgins,WR,CIN,7 sec,279.0,75.7
7,7,Three-Eyed RAVEN,Ronald Jones RB •,,,32 sec,79.2,19.8
7,8,Juggernaut,*Buccaneers,DST,TB,0 sec,261.7,244.0
7,9,Rumblin' Stumblers,Courtland Sutton,WR,DEN,5 sec,157.3,90.5
7,10,Pallino Primos,Kenny Golladay WR •,,,24 sec,88.9,8.0
7,11,Soaring Marmots,Commanders,DST,WAS,2 sec,160.1,14.0
7,12,Ruff Necks,*Trevor Lawrence,QB,JAC,60 sec,214.8,42.6
8,1,Ruff Necks,JuJu Smith-Schuster,WR,KC,5 sec,42.4,21.9
8,2,Soaring Marmots,Robbie Chosen,WR,WAS,6 sec,122.5,27.7
8,3,Pallino Primos,(Skipped Pick),,,3 sec,0.0,0.0
8,4,Rumblin' Stumblers,(Skipped Pick),,,1 sec,0.0,0.0
8,5,Juggernaut,*Marvin Jones WR •,,,1 sec,163.4,143.6
8,6,Three-Eyed RAVEN,Corey Davis WR •,,,21 sec,110.2,17.8
8,7,Prometheus Out of Bounds,Jamaal Williams,RB,NO,19 sec,113.8,65.9
8,8,Steel Your League,Steelers,DST,PIT,5 sec,218.5,175.1
8,9,OnStar,(Skipped Pick),,,5 sec,0.0,0.0
8,10,Chicken Dinner,(Skipped Pick),,,3 sec,0.0,0.0
8,11,Dude Abides,Antonio Brown,WR,TB,18 sec,138.1,138.1
8,12,Mulvihill Machine,Broncos,DST,DEN,12 sec,227.1,47.1
9,1,Mulvihill Machine,Jaylen Waddle,WR,DEN,17 sec,237.1,143.0
9,2,Dude Abides,49ers,DST,SF,11 sec,291.9,237.6
9,3,Chicken Dinner,Michael Carter,RB,TEN,12 sec,157.9,17.1
9,4,OnStar,James White RB •,,,58 sec,31.2,0.0
9,5,Steel Your League,Leonard Fournette RB •,,,4 sec,266.6,237.7
9,6,Prometheus Out of Bounds,Joe Burrow,QB,CIN,4 sec,509.6,165.8
9,7,Three-Eyed RAVEN,(Skipped Pick),,,5 min 23 sec,0.0,0.0
9,8,Juggernaut,*Jamison Crowder,WR,WAS,0 sec,107.1,80.6
9,9,Rumblin' Stumblers,Marquez Callaway,WR,LV,30 sec,156.8,27.5
