Round,Pick,Team,Player,Position,NFL Team
1,1,Prometheus Out of Bounds,Jonathan Taylor,RB,IND
1,2,Dude Abides,Christian McCaffrey,RB,SF
1,3,Soaring Marmots,Derrick Henry,RB,BAL
1,4,Juggernaut,Cam Akers,RB,SEA
1,5,Mulvihill Machine,Austin Ekeler,RB,WAS
1,6,Rumblin' Stumblers,Dalvin Cook,RB,DAL
1,7,Pallino Primos,Joe Mixon,RB,HOU
1,8,Chicken Dinner,Najee Harris,RB,LAC
1,9,Ruff Necks,Alvin Kamara,RB,NO
1,10,Steel Your League,Davante Adams,WR,LAR
1,11,OnStar,Patrick Mahomes,QB,KC
1,12,Three-Eyed RAVEN,Stefon Diggs,WR,NE
2,1,Three-Eyed RAVEN,D'Andre Swift,RB,CHI
2,2,OnStar,Aaron Jones,RB,MIN
2,3,Steel Your League,Nick Chubb,RB,HOU
2,4,Ruff Necks,Travis Kelce,TE,KC
2,5,Chicken Dinner,Javonte Williams,RB,DAL
2,6,Pallino Primos,Mark Andrews,TE,BAL
2,7,Rumblin' Stumblers,Saquon Barkley,RB,PHI
2,8,Mulvihill Machine,Tyreek Hill,WR,MIA
2,9,Juggernaut,Justin Herbert,QB,LAC
2,10,Soaring Marmots,Cooper Kupp,WR,SEA
2,11,Dude Abides,Kyle Pitts,TE,ATL
2,12,Prometheus Out of Bounds,Tom Brady,QB,RET
3,1,Prometheus Out of Bounds,James Conner,RB,ARI
3,2,Dude Abides,Dameon Pierce,RB,PHI
3,3,Soaring Marmots,Kyler Murray,QB,MIN
3,4,Juggernaut,J.K. Dobbins,RB,DEN
3,5,Mulvihill Machine,DJ Moore,WR,BUF
3,6,Rumblin' Stumblers,Lamar Jackson,QB,BAL
3,7,Pallino Primos,Chris Godwin,WR,TB
3,8,Chicken Dinner,Keenan Allen,WR,LAC
3,9,Ruff Necks,A.J. Brown,WR,PHI
3,10,Steel Your League,Ezekiel Elliott,RB,LAC
3,11,OnStar,Kareem Hunt,RB,KC
3,12,Three-Eyed RAVEN,David Montgomery,RB,HOU
4,1,Three-Eyed RAVEN,George Kittle,TE,SF
4,2,OnStar,Darren Waller,TE,MIA
4,3,Steel Your League,Allen Robinson,WR,DET
4,4,Ruff Necks,Travis Etienne,RB,NO
4,5,Chicken Dinner,AJ Dillon,RB,CAR
4,6,Pallino Primos,Michael Thomas,WR,NO
4,7,Rumblin' Stumblers,Mike Evans,WR,SF
4,8,Mulvihill Machine,Breece Hall,RB,NYJ
4,9,Juggernaut,Kenneth Walker III,RB,KC
4,10,Soaring Marmots,Josh Jacobs,RB,GB
4,11,Dude Abides,Brandin Cooks,WR,BUF
4,12,Prometheus Out of Bounds,Jaylen Waddle,WR,DEN
5,1,Prometheus Out of Bounds,Michael Pittman,WR,PIT
5,2,Dude Abides,Christian Kirk,WR,SF
5,3,Soaring Marmots,Diontae Johnson,WR,CLE
5,4,Juggernaut,Damien Harris,RB,BUF
5,5,Mulvihill Machine,Jalen Hurts,QB,PHI
5,6,Rumblin' Stumblers,Chase Edmonds,RB,WAS
5,7,Pallino Primos,Mike Williams,WR,LAC
5,8,Chicken Dinner,Tony Pollard,RB,TEN
5,9,Ruff Necks,Ja'Marr Chase,WR,CIN
5,10,Steel Your League,Joe Burrow,QB,CIN
5,11,OnStar,Terry McLaurin,WR,WAS
5,12,Three-Eyed RAVEN,Jerry Jeudy,WR,CLE
6,1,Three-Eyed RAVEN,Clyde Edwards-Helaire,RB,KC
6,2,OnStar,Dallas Goedert,TE,PHI
6,3,Steel Your League,DK Metcalf,WR,PIT
6,4,Ruff Necks,Antonio Gibson,RB,NE
6,5,Chicken Dinner,Aaron Rodgers,QB,PIT
6,6,Pallino Primos,Matthew Stafford,QB,LAR
6,7,Rumblin' Stumblers,Courtland Sutton,WR,DEN
6,8,Mulvihill Machine,Dalton Schultz,TE,HOU
6,9,Juggernaut,Trevor Lawrence,QB,JAC
6,10,Soaring Marmots,T.J. Hockenson,TE,MIN
6,11,Dude Abides,Elijah Mitchell,RB,NE
6,12,Prometheus Out of Bounds,Tee Higgins,WR,CIN
7,1,Prometheus Out of Bounds,Dawson Knox,TE,BUF
7,2,Dude Abides,Amon-Ra St. Brown,WR,DET
7,3,Soaring Marmots,Rams,DST,LAR
7,4,Juggernaut,Tyler Allgeier,RB,ARI
7,5,Mulvihill Machine,Darnell Mooney,WR,NYG
7,6,Rumblin' Stumblers,Bills,DST,BUF
7,7,Pallino Primos,Rashaad Penny,RB,RET
7,8,Chicken Dinner,CeeDee Lamb,WR,DAL
7,9,Ruff Necks,Russell Wilson,QB,NYG
7,10,Steel Your League,Devin Singletary,RB,NYG
7,11,OnStar,Miles Sanders,RB,DAL
7,12,Three-Eyed RAVEN,Cordarrelle Patterson,RB,PIT
8,1,Three-Eyed RAVEN,Josh Allen,QB,BUF
8,2,OnStar,Browns,DST,CLE
8,3,Steel Your League,Leonard Fournette,RB,RET
8,4,Ruff Necks,DeAndre Hopkins,WR,BAL
8,5,Chicken Dinner,Pat Freiermuth,TE,PIT
8,6,Pallino Primos,Allen Lazard,WR,NYJ
8,7,Rumblin' Stumblers,David Njoku,TE,CLE
8,8,Mulvihill Machine,49ers,DST,SF
8,9,Juggernaut,Melvin Gordon,RB,RET
8,10,Soaring Marmots,JuJu Smith-Schuster,WR,KC
8,11,Dude Abides,Rhamondre Stevenson,RB,NE
8,12,Prometheus Out of Bounds,Buccaneers,DST,TB
9,1,Prometheus Out of Bounds,Ryan Succop,K,RET
9,2,Dude Abides,Dak Prescott,QB,DAL
9,3,Soaring Marmots,Nyheim Miller-Hines,RB,NO
9,4,Juggernaut,Mike Gesicki,TE,CIN
9,5,Mulvihill Machine,Gabe Davis,WR,BUF
9,6,Rumblin' Stumblers,Tyler Bass,K,BUF
9,7,Pallino Primos,James Robinson,RB,NO
9,8,Chicken Dinner,Cole Kmet,TE,CHI
9,9,Ruff Necks,Adam Thielen,WR,PIT
9,10,Steel Your League,Tyler Higbee,TE,LAR
9,11,OnStar,Amari Cooper,WR,LV
9,12,Three-Eyed RAVEN,Hunter Renfrow,WR,CAR
10,1,Three-Eyed RAVEN,Drake London,WR,ATL
10,2,OnStar,Zach Ertz,TE,WAS
10,3,Steel Your League,Deebo Samuel,WR,WAS
10,4,Ruff Necks,Tyler Lockett,WR,LV
10,5,Chicken Dinner,Kirk Cousins,QB,LV
10,6,Pallino Primos,Zamir White,RB,LV
10,7,Rumblin' Stumblers,Brandon Aiyuk,WR,SF
10,8,Mulvihill Machine,Darrell Henderson Jr.,RB,RET
10,9,Juggernaut,Colts,DST,IND
10,10,Soaring Marmots,Derek Carr,QB,NO
10,11,Dude Abides,George Pickens,WR,DAL
10,12,Prometheus Out of Bounds,DeVonta Smith,WR,PHI
11,1,Prometheus Out of Bounds,Elijah Moore,WR,PHI
11,2,Dude Abides,Trey Lance,QB,LAC
11,3,Soaring Marmots,Robert Woods,WR,PIT
11,4,Juggernaut,Marvin Jones,WR,RET
11,5,Mulvihill Machine,Justin Fields,QB,KC
11,6,Rumblin' Stumblers,James Cook,RB,BUF
11,7,Pallino Primos,Brian Robinson Jr.,RB,ATL
11,8,Chicken Dinner,Isiah Pacheco,RB,DET
11,9,Ruff Necks,Michael Carter,RB,TEN
11,10,Steel Your League,Steelers,DST,PIT
11,11,OnStar,Ryan Tannehill,QB,TEN
11,12,Three-Eyed RAVEN,Marquise Brown,WR,PHI
12,1,Three-Eyed RAVEN,Chris Olave,WR,NO
12,2,OnStar,Kenneth Gainwell,RB,TB
12,3,Steel Your League,Raheem Mostert,RB,LV
12,4,Ruff Necks,Ravens,DST,BAL
12,5,Chicken Dinner,Justin Jefferson,WR,MIN
12,6,Pallino Primos,Michael Gallup,WR,WAS
12,7,Rumblin' Stumblers,Nico Collins,WR,HOU
12,8,Mulvihill Machine,Evan Engram,TE,DEN
12,9,Juggernaut,Sterling Shepard,WR,TB
12,10,Soaring Marmots,Gerald Everett,TE,CHI
12,11,Dude Abides,Romeo Doubs,WR,NE
12,12,Prometheus Out of Bounds,Alexander Mattison,RB,MIA
13,1,Prometheus Out of Bounds,Darrel Williams,RB,RET
13,2,Dude Abides,Packers,DST,GB
13,3,Soaring Marmots,Julio Jones,WR,RET
13,4,Juggernaut,Chiefs,DST,KC
13,5,Mulvihill Machine,J.D. McKissic,RB,RET
13,6,Rumblin' Stumblers,Skyy Moore,WR,GB
13,7,Pallino Primos,Evan McPherson,K,CIN
13,8,Chicken Dinner,Treylon Burks,WR,WAS
13,9,Ruff Necks,Isaiah Likely,TE,NYG
13,10,Steel Your League,Austin Hooper,TE,ATL
13,11,OnStar,Jamaal Williams,RB,NO
13,12,Three-Eyed RAVEN,Rondale Moore,WR,MIN
14,1,Three-Eyed RAVEN,Saints,DST,NO
14,2,OnStar,Justin Tucker,K,BAL
14,3,Steel Your League,Harrison Butker,K,KC
14,4,Ruff Necks,Rashod Bateman,WR,BAL
14,5,Chicken Dinner,Chargers,DST,LAC
14,6,Pallino Primos,Broncos,DST,DEN
14,7,Rumblin' Stumblers,Chase Claypool,WR,BUF
14,8,Mulvihill Machine,Matt Gay,K,SF
14,9,Juggernaut,Noah Fant,TE,NO
14,10,Soaring Marmots,Daniel Carlson,K,LV
14,11,Dude Abides,Greg Joseph,K,LV
14,12,Prometheus Out of Bounds,Tua Tagovailoa,QB,ATL
15,1,Prometheus Out of Bounds,Chuba Hubbard,RB,CAR
15,2,Dude Abides,Tyrion Davis-Price,RB,GB
15,3,Soaring Marmots,Isaiah McKenzie,WR,MIA
15,4,Juggernaut,Rodrigo Blankenship,K,RET
15,5,Mulvihill Machine,Rachaad White,RB,WAS
15,6,Rumblin' Stumblers,Dolphins,DST,MIA
15,7,Pallino Primos,Kenny Golladay,WR,RET
15,8,Chicken Dinner,Dustin Hopkins,K,CLE
15,9,Ruff Necks,Jake Elliott,K,PHI
15,10,Steel Your League,Cowboys,DST,DAL
15,11,OnStar,Rex Burkhead,RB,RET
15,12,Three-Eyed RAVEN,Robbie Gould,K,RET
