Round,Pick,Pick-Num,Team,Player,Position,Keeper,Starred,Elapsed Time,Rank,Total Fpts,Active Fpts
1,1,1,Rumblin' Stumblers,Justin Jefferson,WR,False,False,,,,
1,2,2,Chicken Dinner,Christian McCaffrey,RB,False,False,,,,
1,3,3,Prometheus Out of Bounds,Travis Kelce,TE,False,False,,,,
1,4,4,Dude Abides,Austin Ekeler,RB,False,False,,,,
1,5,5,Pallino Primos,Bijan Robinson,RB,False,False,,,,
1,6,6,jerseyj,A.J. Brown,WR,False,False,,,,
1,7,7,Soaring Marmots,Patrick Mahomes,QB,False,False,,,,
1,8,8,OnStar,Tyreek Hill,WR,False,False,,,,
1,9,9,Ruff Necks,Nick Chubb,RB,False,False,,,,
1,10,10,Three-Eyed RAVEN,Saquon Barkley,RB,False,False,,,,
1,11,11,Steel Your League,Derrick Henry,RB,False,False,,,,
1,12,12,Mulvihill Machine,Stefon Diggs,WR,False,False,,,,
2,1,13,Mulvihill Machine,Josh Jacobs,RB,False,False,,,,
2,2,14,Steel Your League,Jalen Hurts,QB,False,False,,,,
2,3,15,Three-Eyed RAVEN,CeeDee Lamb,WR,False,False,,,,
2,4,16,Ruff Necks,Davante Adams,WR,False,False,,,,
2,5,17,OnStar,Josh Allen,QB,False,False,,,,
2,6,18,Soaring Marmots,Cooper Kupp,WR,False,False,,,,
2,7,19,jerseyj,Joe Mixon,RB,False,False,,,,
2,8,20,Pallino Primos,Calvin Ridley,WR,False,False,,,,
2,9,21,Dude Abides,Joe Burrow,QB,False,False,,,,
2,10,22,Prometheus Out of Bounds,Aaron Jones,RB,False,False,,,,
2,11,23,Chicken Dinner,Jaylen Waddle,WR,False,False,,,,
2,12,24,Rumblin' Stumblers,Lamar Jackson,QB,False,False,,,,
3,1,25,Rumblin' Stumblers,Jahmyr Gibbs,RB,False,False,,,,
3,2,26,Chicken Dinner,Christian Watson,WR,False,False,,,,
3,3,27,Prometheus Out of Bounds,Justin Herbert,QB,False,False,,,,
3,4,28,Dude Abides,Mark Andrews,TE,False,False,,,,
3,5,29,Pallino Primos,J.K. Dobbins,RB,False,False,,,,
3,6,30,jerseyj,Amari Cooper,WR,False,False,,,,
3,7,31,Soaring Marmots,Dameon Pierce,RB,False,False,,,,
3,8,32,OnStar,Travis Etienne,RB,False,False,,,,
3,9,33,Ruff Necks,Alexander Mattison,RB,False,False,,,,
3,10,34,Three-Eyed RAVEN,Justin Fields,QB,False,False,,,,
3,11,35,Steel Your League,Najee Harris,RB,False,False,,,,
3,12,36,Mulvihill Machine,Tee Higgins,WR,False,False,,,,
4,1,37,Mulvihill Machine,Miles Sanders,RB,False,False,,,,
4,2,38,Steel Your League,DJ Moore,WR,False,False,,,,
4,3,39,Three-Eyed RAVEN,Breece Hall,RB,False,False,,,,
4,4,40,Ruff Necks,Ja'Marr Chase,WR,False,False,,,,
4,5,41,OnStar,Keenan Allen,WR,False,False,,,,
4,6,42,Soaring Marmots,Chris Godwin,WR,False,False,,,,
4,7,43,jerseyj,T.J. Hockenson,TE,False,False,,,,
4,8,44,Pallino Primos,Tyler Lockett,WR,False,False,,,,
4,9,45,Dude Abides,David Montgomery,RB,False,False,,,,
4,10,46,Prometheus Out of Bounds,James Conner,RB,False,False,,,,
4,11,47,Chicken Dinner,Tony Pollard,RB,False,False,,,,
4,12,48,Rumblin' Stumblers,Darren Waller,TE,False,False,,,,
5,1,49,Rumblin' Stumblers,49ers,DST,False,False,,,,
5,2,50,Chicken Dinner,Diontae Johnson,WR,False,False,,,,
5,3,51,Prometheus Out of Bounds,Garrett Wilson,WR,False,False,,,,
5,4,52,Dude Abides,James Cook,RB,False,False,,,,
5,5,53,Pallino Primos,Kenneth Walker III,RB,False,False,,,,
5,6,54,jerseyj,Trevor Lawrence,QB,False,False,,,,
5,7,55,Soaring Marmots,Cam Akers,RB,False,False,,,,
5,8,56,OnStar,Dallas Goedert,TE,False,False,,,,
5,9,57,Ruff Necks,Alvin Kamara,RB,False,False,,,,
5,10,58,Three-Eyed RAVEN,Rachaad White,RB,False,False,,,,
5,11,59,Steel Your League,DK Metcalf,WR,False,False,,,,
5,12,60,Mulvihill Machine,Jahan Dotson,WR,False,False,,,,
6,1,61,Mulvihill Machine,Kyle Pitts,TE,False,False,,,,
6,2,62,Steel Your League,George Kittle,TE,False,False,,,,
6,3,63,Three-Eyed RAVEN,Dalvin Cook,RB,False,False,,,,
6,4,64,Ruff Necks,Tua Tagovailoa,QB,False,False,,,,
6,5,65,OnStar,D'Andre Swift,RB,False,False,,,,
6,6,66,Soaring Marmots,Pat Freiermuth,TE,False,False,,,,
6,7,67,jerseyj,Eagles,DST,False,False,,,,
6,8,68,Pallino Primos,Mike Evans,WR,False,False,,,,
6,9,69,Dude Abides,Amon-Ra St. Brown,WR,False,False,,,,
6,10,70,Prometheus Out of Bounds,Christian Kirk,WR,False,False,,,,
6,11,71,Chicken Dinner,Javonte Williams,RB,False,False,,,,
6,12,72,Rumblin' Stumblers,AJ Dillon,RB,False,False,,,,
7,1,73,Rumblin' Stumblers,Evan Engram,TE,False,False,,,,
7,2,74,Chicken Dinner,Kirk Cousins,QB,False,False,,,,
7,3,75,Prometheus Out of Bounds,George Pickens,WR,False,False,,,,
7,4,76,Dude Abides,Rhamondre Stevenson,RB,False,False,,,,
7,5,77,Pallino Primos,Jordan Addison,WR,False,False,,,,
7,6,78,jerseyj,Khalil Herbert,RB,False,False,,,,
7,7,79,Soaring Marmots,Saints,DST,False,False,,,,
7,8,80,OnStar,Michael Thomas,WR,False,False,,,,
7,9,81,Ruff Necks,DeAndre Hopkins,WR,False,False,,,,
7,10,82,Three-Eyed RAVEN,Mike Williams,WR,False,False,,,,
7,11,83,Steel Your League,Antonio Gibson,RB,False,False,,,,
7,12,84,Mulvihill Machine,Anthony Richardson,QB,False,False,,,,
8,1,85,Mulvihill Machine,Bills,DST,False,False,,,,
8,2,86,Steel Your League,Deebo Samuel,WR,False,False,,,,
8,3,87,Three-Eyed RAVEN,Zach Charbonnet,RB,False,False,,,,
8,4,88,Ruff Necks,David Njoku,TE,False,False,,,,
8,5,89,OnStar,Jaylen Warren,RB,False,False,,,,
8,6,90,Soaring Marmots,Zay Flowers,WR,False,False,,,,
8,7,91,jerseyj,Justin Tucker,K,False,False,,,,
8,8,92,Pallino Primos,Dalton Kincaid,TE,False,False,,,,
8,9,93,Dude Abides,Jaxon Smith-Njigba,WR,False,False,,,,
8,10,94,Prometheus Out of Bounds,Terry McLaurin,WR,False,False,,,,
8,11,95,Chicken Dinner,Aaron Rodgers,QB,False,False,,,,
8,12,96,Rumblin' Stumblers,Jerick McKinnon,RB,False,False,,,,
9,1,97,Rumblin' Stumblers,Brandon Aiyuk,WR,False,False,,,,
9,2,98,Chicken Dinner,Brandin Cooks,WR,False,False,,,,
9,3,99,Prometheus Out of Bounds,DeVonta Smith,WR,False,False,,,,
9,4,100,Dude Abides,Jonathan Taylor,RB,False,False,,,,
9,5,101,Pallino Primos,Geno Smith,QB,False,False,,,,
9,6,102,jerseyj,Taysom Hill,TE,False,False,,,,
9,7,103,Soaring Marmots,Cameron Dicker,K,False,False,,,,
9,8,104,OnStar,Samaje Perine,RB,False,False,,,,
9,9,105,Ruff Necks,Marquise Brown,WR,False,False,,,,
9,10,106,Three-Eyed RAVEN,Drake London,WR,False,False,,,,
9,11,107,Steel Your League,Steelers,DST,False,False,,,,
9,12,108,Mulvihill Machine,Younghoe Koo,K,False,False,,,,
10,1,109,Mulvihill Machine,Gabe Davis,WR,False,False,,,,
10,2,110,Steel Your League,Dalton Schultz,TE,False,False,,,,
10,3,111,Three-Eyed RAVEN,Treylon Burks,WR,False,False,,,,
10,4,112,Ruff Necks,Ravens,DST,False,False,,,,
10,5,113,OnStar,Jerry Jeudy,WR,False,False,,,,
10,6,114,Soaring Marmots,Dak Prescott,QB,False,False,,,,
10,7,115,jerseyj,Israel Abanikanda,RB,False,False,,,,
10,8,116,Pallino Primos,Brian Robinson Jr.,RB,False,False,,,,
10,9,117,Dude Abides,Skyy Moore,WR,False,False,,,,
10,10,118,Prometheus Out of Bounds,Jamaal Williams,RB,False,False,,,,
10,11,119,Chicken Dinner,Isiah Pacheco,RB,False,False,,,,
10,12,120,Rumblin' Stumblers,Courtland Sutton,WR,False,False,,,,
11,1,121,Rumblin' Stumblers,Kenneth Gainwell,RB,False,False,,,,
11,2,122,Chicken Dinner,Jaguars,DST,False,False,,,,
11,3,123,Prometheus Out of Bounds,Cowboys,DST,False,False,,,,
11,4,124,Dude Abides,Chargers,DST,False,False,,,,
11,5,125,Pallino Primos,Deshaun Watson,QB,False,False,,,,
11,6,126,jerseyj,Rashaad Penny,RB,False,False,,,,
11,7,127,Soaring Marmots,Michael Pittman,WR,False,False,,,,
11,8,128,OnStar,Odell Beckham Jr.,WR,False,False,,,,
11,9,129,Ruff Necks,Rashod Bateman,WR,False,False,,,,
11,10,130,Three-Eyed RAVEN,Chris Olave,WR,False,False,,,,
11,11,131,Steel Your League,Elijah Mitchell,RB,False,False,,,,
11,12,132,Mulvihill Machine,Raheem Mostert,RB,False,False,,,,
12,1,133,Mulvihill Machine,Tyler Higbee,TE,False,False,,,,
12,2,134,Steel Your League,Daniel Jones,QB,False,False,,,,
12,3,135,Three-Eyed RAVEN,De'Von Achane,RB,False,False,,,,
12,4,136,Ruff Necks,Harrison Butker,K,False,False,,,,
12,5,137,OnStar,Jets,DST,False,False,,,,
12,6,138,Soaring Marmots,Damien Harris,RB,False,False,,,,
12,7,139,jerseyj,Jared Goff,QB,False,False,,,,
12,8,140,Pallino Primos,Juwan Johnson,TE,False,False,,,,
12,9,141,Dude Abides,Quentin Johnston,WR,False,False,,,,
12,10,142,Prometheus Out of Bounds,Tank Bigsby,RB,False,False,,,,
12,11,143,Chicken Dinner,Greg Dulcich,TE,False,False,,,,
12,12,144,Rumblin' Stumblers,Tyjae Spears,RB,False,False,,,,
13,1,145,Rumblin' Stumblers,Tank Dell,WR,False,False,,,,
13,2,146,Chicken Dinner,Gerald Everett,TE,False,False,,,,
13,3,147,Prometheus Out of Bounds,Sam LaPorta,TE,False,False,,,,
13,4,148,Dude Abides,Tyler Bass,K,False,False,,,,
13,5,149,Pallino Primos,Commanders,DST,False,False,,,,
13,6,150,jerseyj,Deon Jackson,RB,False,False,,,,
13,7,151,Soaring Marmots,Zach Ertz,TE,False,False,,,,
13,8,152,OnStar,Cole Kmet,TE,False,False,,,,
