Round,Pick,Pick-Num,Team,Player,Position,Keeper,Starred,Elapsed Time,Rank,Total Fpts,Active Fpts
1,1,1,Dude Abides,Ja'Marr Chase WR | CIN,WR,False,False,,#3 WR,350.9,327.3
1,2,2,jerseyj,Saquon Barkley RB | PHI,RB,False,False,3 sec,#11 RB,274.6,253.5
1,3,3,OnStar,Jahmyr Gibbs RB | DET,RB,False,False,33 sec,#3 RB,399.9,379.6
1,4,4,Pallino Primos,CeeDee Lamb WR | DAL,WR,False,False,18 sec,#15 WR,232.9,231.5
1,5,5,Chicken Dinner,Bijan Robinson RB | ATL,RB,False,False,46 sec,#2 RB,411.8,404.5
1,6,6,The Young Core,Justin Jefferson WR | MIN,WR,False,False,46 sec,#22 WR,216.5,193.1
1,7,7,Ruff Necks,Christian McCaffrey RB | SF,RB,False,False,35 sec,#1 RB,478.4,424.9
1,8,8,Prometheus Out of Bounds,Derrick Henry RB | BAL,RB,False,False,10 sec,#7 RB,326.5,308.9
1,9,9,Steel Your League,Ashton Jeanty RB | LV,RB,False,False,29 sec,#12 RB,263.1,250.7
1,10,10,Rumblin' Stumblers,Nico Collins WR | HOU,WR,False,False,17 sec,#9 WR,248.3,243.2
1,11,11,Three-Eyed RAVEN,Chase Brown RB | CIN,RB,False,False,32 sec,#8 RB,298.4,205.3
1,12,12,Mulvihill Machine,Amon-Ra St. Brown WR | DET,WR,False,False,16 sec,#4 WR,349.0,319.1
2,1,13,Mulvihill Machine,Josh Jacobs RB | GB,RB,False,False,14 sec,#15 RB,244.9,238.1
2,2,14,Three-Eyed RAVEN,Lamar Jackson QB | BAL,QB,False,False,1 min 28 sec,#22 QB,249.35,220.55
2,3,15,Rumblin' Stumblers,Bucky Irving RB | TB,RB,False,False,10 sec,#33 RB,145.5,134.7
2,4,16,Steel Your League,Josh Allen QB | BUF,QB,False,False,10 sec,#2 QB,493.0,321.95
2,5,17,Prometheus Out of Bounds,James Cook RB | BUF,RB,False,False,10 sec,#5 RB,384.4,356.7
2,6,18,Ruff Necks,A.J. Brown WR | PHI,WR,False,False,27 sec,#8 WR,250.8,145.8
2,7,19,The Young Core,Drake London WR | ATL,WR,False,False,1 min 23 sec,#19 WR,226.9,202.0
2,8,20,Chicken Dinner,Alvin Kamara RB | NO,RB,False,True,1 min 30 sec,#46 RB,100.7,100.7
2,9,21,Pallino Primos,Omarion Hampton RB | LAC,RB,False,False,6 sec,#35 RB,143.7,96.6
2,10,22,OnStar,Tee Higgins WR | CIN,WR,False,False,1 min 26 sec,#21 WR,216.6,197.9
2,11,23,jerseyj,Jaxon Smith-Njigba WR | SEA,WR,False,False,34 sec,#2 WR,462.9,394.6
2,12,24,Dude Abides,Kenneth Walker III RB | KC,RB,False,False,26 sec,#22 RB,289.7,60.1
3,1,25,Dude Abides,TreVeyon Henderson RB | NE,RB,False,False,9 sec,#18 RB,244.3,175.3
3,2,26,jerseyj,DJ Moore WR | BUF,WR,True,False,0 sec,#32 WR,208.0,105.5
3,3,27,OnStar,Jalen Hurts QB | PHI,QB,False,False,13 sec,#9 QB,374.1,359.3
3,4,28,Pallino Primos,George Kittle TE | SF,TE,False,False,23 sec,#13 TE,168.4,158.9
